date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:40	760/760	---M--	200	added ('OK')	text/plain	etag:%222f8-5765ad00e5d14%22	http://ganeshbhel.com/robots.txt		(from )
12:57:44	109485/109485	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202019%2007:27:39%20GMT	http://ganeshbhel.com/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/index.html	(from )
12:57:46	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2021%20Sep%202019%2007:27:42%20GMT	http://ganeshbhel.com/xmlrpc.php	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/xmlrpc.php	(from http://ganeshbhel.com/)
12:57:46	677/677	---M--	200	added ('OK')	image/png	etag:%222a5-5701637553b5f%22	http://ganeshbhel.com/wp-content/uploads/2018/07/frame-icon-01.png	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/uploads/2018/07/frame-icon-01.png	(from http://ganeshbhel.com/)
12:57:47	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/GaneshBhel/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://ganeshbhel.com/)
12:57:47	21133/21133	---M--	200	added ('OK')	text/css	etag:%22528d-56f235a397789%22	http://ganeshbhel.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.7.1	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider9704.css	(from http://ganeshbhel.com/)
12:57:48	1743/1743	---M--	200	added ('OK')	text/css	etag:%226cf-57365502fe351%22	http://ganeshbhel.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/contact-form-7/includes/css/stylesaead.css	(from http://ganeshbhel.com/)
12:57:51	1341/1341	---MC-	200	added ('OK')	application/rss+xml	etag:%22df7e2bcc0d6ded3f8c97ec6b56a0bb3b%22	http://ganeshbhel.com/comments/feed/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/comments/feed/index.html	(from http://ganeshbhel.com/)
12:57:51	863/863	---MC-	200	added ('OK')	application/rss+xml	etag:%22df7e2bcc0d6ded3f8c97ec6b56a0bb3b%22	http://ganeshbhel.com/home/feed/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/home/feed/index.html	(from http://ganeshbhel.com/)
12:57:51	162/162	---M--	200	added ('OK')	text/css	etag:%22a2-57012465e1590%22	http://ganeshbhel.com/wp-content/plugins/cf7-conditional-fields/style.css?ver=1.3.4	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/cf7-conditional-fields/stylec412.css	(from http://ganeshbhel.com/)
12:57:51	754/754	---M--	200	added ('OK')	text/css	etag:%222f2-578e40ac5de4d%22	http://ganeshbhel.com/wp-content/plugins/image-zoom-in-out/image-zoom-inout.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/image-zoom-in-out/image-zoom-inout433d.css	(from http://ganeshbhel.com/)
12:57:56	437322/437322	---M--	200	added ('OK')	text/css	etag:%226ac4a-56f2359fcd3b1%22	http://ganeshbhel.com/wp-content/plugins/mega-addons-for-visual-composer/css/ihover.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/mega-addons-for-visual-composer/css/ihover433d.css	(from http://ganeshbhel.com/)
12:57:56	1285/1285	---M--	200	added ('OK')	text/css	etag:%22505-56f2359fc9149%22	http://ganeshbhel.com/wp-content/plugins/mega-addons-for-visual-composer/css/style.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/mega-addons-for-visual-composer/css/style433d.css	(from http://ganeshbhel.com/)
12:57:57	37414/37414	---M--	200	added ('OK')	text/css	etag:%229226-56f2359fcd3b1%22	http://ganeshbhel.com/wp-content/plugins/mega-addons-for-visual-composer/css/font-awesome/css/font-awesome.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/mega-addons-for-visual-composer/css/font-awesome/css/font-awesome433d.css	(from http://ganeshbhel.com/)
12:57:58	39755/39755	---M--	200	added ('OK')	text/css	etag:%229b4b-56f235a36ef14%22	http://ganeshbhel.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.7.1	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/revslider/public/assets/css/settings8c43.css	(from http://ganeshbhel.com/)
