date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:16	58/58	---MCZ	200	added ('OK')	text/plain	etag:%227u33wg%22	https://www.playosmo.com/robots.txt		(from )
14:43:17	80067/80067	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:16%20GMT	https://www.playosmo.com/en/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/index.html	(from )
14:43:17	6530/6530	---MC-	200	added ('OK')	image/png	etag:%227u33wg%22	https://www.playosmo.com/cf7ca3e.favicon.png	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/cf7ca3e.favicon.png	(from https://www.playosmo.com/en/)
14:43:17	541035/541035	---MCZ	200	added ('OK')	text/css	etag:%227u33wg%22	https://www.playosmo.com/styles/1f0400f.base.css	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/styles/1f0400f.base.css	(from https://www.playosmo.com/en/)
14:43:17	217824/217824	---M-Z	200	added ('OK')	text/css	etag:%227u33wg%22	https://www.playosmo.com/styles/c2183d7.pg-home.css	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/styles/c2183d7.pg-home.css	(from https://www.playosmo.com/en/)
14:43:18	256295/256295	---MC-	200	added ('OK')	image/jpeg	etag:%22wHJPpQ%22	https://www.playosmo.com/images/homepage/2018/981c21b.home-2018-hero-loop-poster.jpg	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/homepage/2018/981c21b.home-2018-hero-loop-poster.jpg	(from https://www.playosmo.com/en/)
14:43:18	92446/92446	---MC-	200	added ('OK')	image/jpeg	etag:%22qu996Q%22	https://www.playosmo.com/images/games/numbers/0d03d56.numbers-presentation.jpg	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/numbers/0d03d56.numbers-presentation.jpg	(from https://www.playosmo.com/en/)
14:43:18	52143/52143	---MC-	200	added ('OK')	image/jpeg	etag:%22n7CVNQ%22	https://www.playosmo.com/images/games/tangram/8d50a58.tangram-presentation.jpg	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/tangram/8d50a58.tangram-presentation.jpg	(from https://www.playosmo.com/en/)
14:43:18	51070/51070	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:18%20GMT	https://www.playosmo.com/en/faq/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/faq/index.html	(from https://www.playosmo.com/en/)
14:43:18	41928/41928	---MC-	200	added ('OK')	image/jpeg	etag:%224oJOPA%22	https://www.playosmo.com/images/games/coding/03735ca.coding-presentation.jpg	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/coding/03735ca.coding-presentation.jpg	(from https://www.playosmo.com/en/)
14:43:19	44591/44591	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:18%20GMT	https://www.playosmo.com/en/schools/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/schools/index.html	(from https://www.playosmo.com/en/)
14:43:19	78735/78735	---MC-	200	added ('OK')	image/jpeg	etag:%22n7CVNQ%22	https://www.playosmo.com/images/games/words/1096997.words-presentation.jpg	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/words/1096997.words-presentation.jpg	(from https://www.playosmo.com/en/)
14:43:19	40991/40991	---M--	200	added ('OK')	image/jpeg	etag:%22O5aErg%22	https://www.playosmo.com/images/games/masterpiece/12f236a.masterpiece-demo-still.jpg	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/masterpiece/12f236a.masterpiece-demo-still.jpg	(from https://www.playosmo.com/en/)
14:43:19	4360/4360	---M--	200	added ('OK')	image/png	etag:%22vb0mjA%22	https://www.playosmo.com/images/games/numbers/fish/89815a1.BLENNY_2.png	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/numbers/fish/89815a1.BLENNY_2.png	(from https://www.playosmo.com/en/)
14:43:19	42574/42574	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:19%20GMT	https://www.playosmo.com/en/shopping/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/shopping/index.html	(from https://www.playosmo.com/en/)
14:43:19	4053/4053	---MC-	200	added ('OK')	image/png	etag:%22vb0mjA%22	https://www.playosmo.com/images/games/numbers/fish/2b85a35.CLOWNFISH_2.png	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/numbers/fish/2b85a35.CLOWNFISH_2.png	(from https://www.playosmo.com/en/)
14:43:20	5001/5001	---MC-	200	added ('OK')	image/png	etag:%22m0snDA%22	https://www.playosmo.com/images/games/numbers/fish/270d127.RAINBOW_FISH_2.png	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/numbers/fish/270d127.RAINBOW_FISH_2.png	(from https://www.playosmo.com/en/)
14:43:20	5216/5216	---M--	200	added ('OK')	image/png	etag:%22O5aErg%22	https://www.playosmo.com/images/games/numbers/fish/5807a07.SEAHORSE_2.png	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/games/numbers/fish/5807a07.SEAHORSE_2.png	(from https://www.playosmo.com/en/)
14:43:20	42519/42519	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:19%20GMT	https://www.playosmo.com/en/retail/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/retail/index.html	(from https://www.playosmo.com/en/)
14:43:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2002%20Oct%202019%2009:13:20%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/PlayOsmo/www.googletagmanager.com/gtm.d5445.delayed	(from https://www.playosmo.com/en/)
14:43:20	42574/42574	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:20%20GMT	https://www.playosmo.com/en/shopping/?via=nb	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/shopping/index3c33.html	(from https://www.playosmo.com/en/)
14:43:21	42715/42715	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:20%20GMT	https://www.playosmo.com/en/devices/?platform=ipad	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/devices/indexfd06.html	(from https://www.playosmo.com/en/)
14:43:21	530527/530527	---MCZ	200	added ('OK')	application/javascript	etag:%227u33wg%22	https://www.playosmo.com/scripts/3a82ae3.vendors.js	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/scripts/3a82ae3.vendors.js	(from https://www.playosmo.com/en/)
14:43:21	905780/905780	---MCZ	200	added ('OK')	application/javascript	etag:%227u33wg%22	https://www.playosmo.com/scripts/43b61ec.main-en-US.js	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/scripts/43b61ec.main-en-US.js	(from https://www.playosmo.com/en/)
14:43:21	226450/226450	---MCZ	200	added ('OK')	application/javascript	etag:%227u33wg%22	https://www.playosmo.com/scripts/cbf645c.shoppingcart-en-US.js	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/scripts/cbf645c.shoppingcart-en-US.js	(from https://www.playosmo.com/en/)
14:43:21	42715/42715	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:21%20GMT	https://www.playosmo.com/en/devices/?platform=fire	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/devices/indexa6ba.html	(from https://www.playosmo.com/en/)
14:43:21	42715/42715	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:21%20GMT	https://www.playosmo.com/en/devices/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/devices/index.html	(from https://www.playosmo.com/en/)
14:43:22	110674/110674	---MC-	200	added ('OK')	image/jpeg	etag:%220FBOjQ%22	https://www.playosmo.com/images/replacements/d48f309.bubble.jpg	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/replacements/d48f309.bubble.jpg	(from https://www.playosmo.com/en/)
14:43:22	90034/90034	---MC-	200	added ('OK')	image/png	etag:%22vb0mjA%22	https://www.playosmo.com/images/replacements/7e5eb3e.pieces.png	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/images/replacements/7e5eb3e.pieces.png	(from https://www.playosmo.com/en/)
14:43:24	59514/59514	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:21%20GMT	https://www.playosmo.com/en/numbers/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/numbers/index.html	(from https://www.playosmo.com/en/)
14:43:24	58099/58099	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:22%20GMT	https://www.playosmo.com/en/coding/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/coding/index.html	(from https://www.playosmo.com/en/)
14:43:24	54071/54071	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2009:13:22%20GMT	https://www.playosmo.com/en/tangram/	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/en/tangram/index.html	(from https://www.playosmo.com/en/)
14:43:24	411455/411455	---MCZ	200	added ('OK')	application/javascript	etag:%227u33wg%22	https://www.playosmo.com/scripts/cac1b03.bndl-n_lottie-web_build_player_lottie_svg-home.js	C:/My%20Web%20Sites/PlayOsmo/www.playosmo.com/scripts/cac1b03.bndl-n_lottie-web_build_player_lottie_svg-home.js	(from https://www.playosmo.com/en/)
