date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:07	28654/28654	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2010:55:33%20GMT	https://www.prakamyaindia.com/	C:/My%20Web%20Sites/Prakamya%20India/www.prakamyaindia.com/index.html	(from )
00:08:09	29200/29200	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Dec%202019%2018:37:20%20GMT	https://www.prakamyaindia.com/robots.txt		(from )
00:08:10	790/790	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Dec%202019%2018:37:23%20GMT	http://prakamyaindia.com/logo.png	C:/My%20Web%20Sites/Prakamya%20India/prakamyaindia.com/logo.0.delayed	(from https://www.prakamyaindia.com/)
00:08:12	97163/97163	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Dec%202019%2010:44:44%20GMT	https://www.prakamyaindia.com/js/jquery.js	C:/My%20Web%20Sites/Prakamya%20India/www.prakamyaindia.com/js/jquery.js	(from https://www.prakamyaindia.com/)
00:08:13	30111/30111	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Dec%202019%2010:48:50%20GMT	https://www.prakamyaindia.com/plugins/revolution/css/settings.css	C:/My%20Web%20Sites/Prakamya%20India/www.prakamyaindia.com/plugins/revolution/css/settings.css	(from https://www.prakamyaindia.com/)
00:08:14	121204/121204	---M--	200	added ('OK')	text/css	etag:%228dc07c9-1d974-598b63ed4bc9a%22	https://www.prakamyaindia.com/css/bootstrap.css	C:/My%20Web%20Sites/Prakamya%20India/www.prakamyaindia.com/css/bootstrap.css	(from https://www.prakamyaindia.com/)
00:08:15	59576/59576	---M--	200	added ('OK')	text/css	etag:%228dc08bc-e8b8-598b6530a2722%22	https://www.prakamyaindia.com/plugins/revolution/css/navigation.css	C:/My%20Web%20Sites/Prakamya%20India/www.prakamyaindia.com/plugins/revolution/css/navigation.css	(from https://www.prakamyaindia.com/)
00:08:16	140793/140793	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Dec%202019%2010:48:48%20GMT	https://www.prakamyaindia.com/plugins/revolution/css/layers.css	C:/My%20Web%20Sites/Prakamya%20India/www.prakamyaindia.com/plugins/revolution/css/layers.css	(from https://www.prakamyaindia.com/)
00:08:16	18870/18870	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Dec%202019%2010:43:18%20GMT	https://www.prakamyaindia.com/css/responsive.css	C:/My%20Web%20Sites/Prakamya%20India/www.prakamyaindia.com/css/responsive.css	(from https://www.prakamyaindia.com/)
00:08:17	2910/2910	---M--	200	added ('OK')	text/css	etag:%228dc07cb-b5e-598b63ee041d2%22	https://www.prakamyaindia.com/css/color-switcher-design.css	C:/My%20Web%20Sites/Prakamya%20India/www.prakamyaindia.com/css/color-switcher-design.css	(from https://www.prakamyaindia.com/)
