date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:42	39354/39354	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:51:41%20GMT	https://www.yogifi.io/	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/index.html	(from )
19:21:42	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202019%2013:51:41%20GMT	https://www.yogifi.io/robots.txt		(from )
19:21:42	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22594004d-47e-592e5f1f3b500%22	https://www.yogifi.io/images/favicon.ico	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/favicon.ico	(from https://www.yogifi.io/)
19:21:43	23763/23763	---M--	200	added ('OK')	text/css	etag:%225940083-5cd3-576df9b5e8200%22	https://www.yogifi.io/css/font-awesome.min.css	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/css/font-awesome.min.css	(from https://www.yogifi.io/)
19:21:43	3341/3341	---M--	200	added ('OK')	text/css	etag:%225940085-d0d-592d2d7829500%22	https://www.yogifi.io/css/owl.carousel.min.css	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/css/owl.carousel.min.css	(from https://www.yogifi.io/)
19:21:44	1013/1013	---M--	200	added ('OK')	text/css	etag:%225940087-3f5-56a47934be480%22	https://www.yogifi.io/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/css/owl.theme.default.min.css	(from https://www.yogifi.io/)
19:21:45	57095/57095	---M--	200	added ('OK')	text/css	etag:%225940075-df07-584968ff963c0%22	https://www.yogifi.io/css/animate.css	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/css/animate.css	(from https://www.yogifi.io/)
19:21:46	155758/155758	---M--	200	added ('OK')	text/css	etag:%225940080-2606e-581c7a0373180%22	https://www.yogifi.io/css/bootstrap.min.css	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/css/bootstrap.min.css	(from https://www.yogifi.io/)
19:21:46	18686/18686	---M--	200	added ('OK')	text/css	etag:%2259421be-48fe-59720d4f92ccf%22	https://www.yogifi.io/css/style.css	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/css/style.css	(from https://www.yogifi.io/)
19:21:46	39354/39354	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:51:46%20GMT	https://www.yogifi.io/index.php	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/index-2.html	(from https://www.yogifi.io/)
19:21:47	4063/4063	---M--	200	added ('OK')	image/png	etag:%225940057-fdf-592fae8b1d0c0%22	https://www.yogifi.io/images/logo.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/logo.png	(from https://www.yogifi.io/)
19:21:47	19520/19520	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:51:47%20GMT	https://www.yogifi.io/practitioners.php	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/practitioners.html	(from https://www.yogifi.io/)
19:21:48	17830/17830	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202019%2013:51:47%20GMT	https://www.yogifi.io/trainers.php	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/trainers.html	(from https://www.yogifi.io/)
19:21:48	935/935	---M--	200	added ('OK')	image/svg+xml	etag:%22594005f-3a7-592d1561b4080%22	https://www.yogifi.io/images/shopping-cart.svg	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/shopping-cart.svg	(from https://www.yogifi.io/)
19:21:49	35166/35166	---M--	200	added ('OK')	image/gif	etag:%225941d70-895e-5958dd8eea880%22	https://www.yogifi.io/images/Preloader_11.gif	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/Preloader_11.gif	(from https://www.yogifi.io/)
19:21:53	418711/418711	---M--	200	added ('OK')	image/png	etag:%225941be6-66397-5951a96d84f00%22	https://www.yogifi.io/images/new-images/inteligent-fitnes.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/inteligent-fitnes.png	(from https://www.yogifi.io/)
19:21:53	227260/227260	---M--	200	added ('OK')	image/png	etag:%22594000a-377bc-595060e4fb380%22	https://www.yogifi.io/images/new-images/guides-step-by-step.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/guides-step-by-step.png	(from https://www.yogifi.io/)
19:21:54	31909/31909	---M--	200	added ('OK')	image/jpeg	etag:%225940092-7ca5-5950215287740%22	https://www.yogifi.io/images/new-images/strength-flexibility.jpg	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/strength-flexibility.jpg	(from https://www.yogifi.io/)
19:21:55	253858/253858	---M--	200	added ('OK')	image/png	etag:%225940003-3dfa2-595179492fa40%22	https://www.yogifi.io/images/new-images/correct-your-posture-new.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/correct-your-posture-new.png	(from https://www.yogifi.io/)
19:21:59	1910071/1910071	---M--	200	added ('OK')	image/gif	etag:%22594008a-1d2537-59501a65a6080%22	https://www.yogifi.io/images/new-images/future-of-yoga.gif	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/future-of-yoga.gif	(from https://www.yogifi.io/)
19:22:00	1065157/1065157	---M--	200	added ('OK')	image/png	etag:%225940099-1040c5-5950397933200%22	https://www.yogifi.io/images/new-images/monitor-your-practice.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/monitor-your-practice.png	(from https://www.yogifi.io/)
19:22:02	2295303/2295303	---M--	200	added ('OK')	image/png	etag:%225940023-230607-5951a90779e40%22	https://www.yogifi.io/images/new-images/track-compare.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/track-compare.png	(from https://www.yogifi.io/)
19:22:04	97827/97827	---M--	200	added ('OK')	image/jpeg	etag:%225940091-17e23-594ec4dbd5640%22	https://www.yogifi.io/images/new-images/numerous-yoga.jpg	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/numerous-yoga.jpg	(from https://www.yogifi.io/)
19:22:09	14803397/14803397	---M--	200	added ('OK')	video/mp4	etag:%225940065-e1e1c5-5935adb3b7580%22	https://www.yogifi.io/images/video_yogifi_v02.mp4	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/video_yogifi_v02.mp4	(from https://www.yogifi.io/)
19:22:14	463389/463389	---M--	200	added ('OK')	image/png	etag:%225940024-7121d-595058ce8dec0%22	https://www.yogifi.io/images/new-images/invite-friends.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/invite-friends.png	(from https://www.yogifi.io/)
19:22:14	1102583/1102583	---M--	200	added ('OK')	image/png	etag:%22594009e-10d2f7-595066f86c940%22	https://www.yogifi.io/images/new-images/numerous-yoga.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/numerous-yoga.png	(from https://www.yogifi.io/)
19:22:14	1189634/1189634	---M--	200	added ('OK')	image/png	etag:%22594009a-122702-59506246cb640%22	https://www.yogifi.io/images/new-images/live-instructor-led.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/live-instructor-led.png	(from https://www.yogifi.io/)
19:22:16	800902/800902	---M--	200	added ('OK')	image/png	etag:%22594009f-c3886-5950650c54040%22	https://www.yogifi.io/images/new-images/with-yogifi.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/new-images/with-yogifi.png	(from https://www.yogifi.io/)
19:22:17	160712/160712	---M--	200	added ('OK')	image/jpeg	etag:%225940068-273c8-592e1009adfc0%22	https://www.yogifi.io/images/yoga-practitioners.jpg	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/yoga-practitioners.jpg	(from https://www.yogifi.io/)
19:22:18	130414/130414	---M--	200	added ('OK')	image/jpeg	etag:%225940062-1fd6e-592e1004e9480%22	https://www.yogifi.io/images/trainers.jpg	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/trainers.jpg	(from https://www.yogifi.io/)
19:22:19	33945/33945	---M--	200	added ('OK')	image/png	etag:%225940047-8499-592e284dea040%22	https://www.yogifi.io/images/awards-01.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/awards-01.png	(from https://www.yogifi.io/)
19:22:20	55013/55013	---M--	200	added ('OK')	image/png	etag:%225940048-d6e5-592e288fb7b80%22	https://www.yogifi.io/images/awards-02.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/awards-02.png	(from https://www.yogifi.io/)
19:22:20	59116/59116	---M--	200	added ('OK')	image/png	etag:%225940049-e6ec-592e285b43fc0%22	https://www.yogifi.io/images/awards-03.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/awards-03.png	(from https://www.yogifi.io/)
19:22:20	133331/133331	---M--	200	added ('OK')	image/jpeg	etag:%22594005c-208d3-592e10105af80%22	https://www.yogifi.io/images/organizations.jpg	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/organizations.jpg	(from https://www.yogifi.io/)
19:22:21	4075/4075	---M--	200	added ('OK')	image/png	etag:%225940058-feb-592fb0af79e80%22	https://www.yogifi.io/images/logo_black.png	C:/My%20Web%20Sites/Yogifi%20io/www.yogifi.io/images/logo_black.png	(from https://www.yogifi.io/)
